Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1246	 0	 queue3 	 oversize :	 25555775 ->	 25577720
0	 1247	 0	 queue3 	 oversize :	 25577720 ->	 25616388
0	 1248	 0	 queue3 	 oversize :	 25616388 ->	 25658370
0	 1250	 0	 queue3 	 oversize :	 25658370 ->	 25680288
0	 1251	 0	 queue3 	 oversize :	 25680288 ->	 25752644
0	 1252	 0	 queue3 	 oversize :	 25752644 ->	 25819390
0	 1253	 0	 queue3 	 oversize :	 25819390 ->	 25832049
0	 1254	 0	 queue3 	 oversize :	 25832049 ->	 25845233
0	 1255	 0	 queue3 	 oversize :	 25845233 ->	 25850218
0	 1256	 0	 queue3 	 oversize :	 25850218 ->	 25864190
0	 1257	 0	 queue3 	 oversize :	 25864190 ->	 25897983
0	 1258	 0	 queue3 	 oversize :	 25897983 ->	 25936277
0	 1259	 0	 queue3 	 oversize :	 25936277 ->	 25964898
0	 1260	 0	 queue3 	 oversize :	 25964898 ->	 25991749
0	 1261	 0	 queue3 	 oversize :	 25991749 ->	 26022730
0	 1262	 0	 queue3 	 oversize :	 26022730 ->	 26043435
0	 1263	 0	 queue3 	 oversize :	 26043435 ->	 26091190
0	 1264	 0	 queue3 	 oversize :	 26091190 ->	 26142879
0	 1265	 0	 queue3 	 oversize :	 26142879 ->	 26189825
0	 1266	 0	 queue3 	 oversize :	 26189825 ->	 26204208
0	 1267	 0	 queue3 	 oversize :	 26204208 ->	 26253016
0	 1268	 0	 queue3 	 oversize :	 26253016 ->	 26279669
0	 1269	 0	 queue3 	 oversize :	 26279669 ->	 26281781
0	 1270	 0	 queue3 	 oversize :	 26281781 ->	 26317053
0	 1271	 0	 queue3 	 oversize :	 26317053 ->	 26364085
0	 1273	 0	 queue3 	 oversize :	 26364085 ->	 26381345
0	 1274	 0	 queue3 	 oversize :	 26381345 ->	 26398156
0	 1275	 0	 queue3 	 oversize :	 26398156 ->	 26431691
0	 1276	 0	 queue3 	 oversize :	 26431691 ->	 26517120
0	 1277	 0	 queue3 	 oversize :	 26517120 ->	 26523178
0	 1278	 0	 queue3 	 oversize :	 26523178 ->	 26562412
0	 1279	 0	 queue3 	 oversize :	 26562412 ->	 26623432
0	 1280	 0	 queue3 	 oversize :	 26623432 ->	 26681804
0	 1281	 0	 queue3 	 oversize :	 26681804 ->	 26735456
0	 1282	 0	 queue3 	 oversize :	 26735456 ->	 26744425
0	 1283	 0	 queue3 	 oversize :	 26744425 ->	 26783441
0	 1285	 0	 queue3 	 oversize :	 26783441 ->	 26795416
0	 1286	 0	 queue3 	 oversize :	 26795416 ->	 26815505
0	 1287	 0	 queue3 	 oversize :	 26815505 ->	 26845033
0	 1288	 0	 queue3 	 oversize :	 26845033 ->	 26888628
0	 1289	 0	 queue3 	 oversize :	 26888628 ->	 26969396
0	 1290	 0	 queue3 	 oversize :	 26969396 ->	 27021540
0	 1292	 0	 queue3 	 oversize :	 27021540 ->	 27032433
0	 1293	 0	 queue3 	 oversize :	 27032433 ->	 27067693
0	 1294	 0	 queue3 	 oversize :	 27067693 ->	 27090348
0	 1295	 0	 queue3 	 oversize :	 27090348 ->	 27131954
0	 1296	 0	 queue3 	 oversize :	 27131954 ->	 27179576
0	 1297	 0	 queue3 	 oversize :	 27179576 ->	 27214393
0	 1299	 0	 queue3 	 oversize :	 27214393 ->	 27256335
0	 1300	 0	 queue3 	 oversize :	 27256335 ->	 27298454
0	 1301	 0	 queue3 	 oversize :	 27298454 ->	 27315008
0	 1302	 0	 queue3 	 oversize :	 27315008 ->	 27407027
0	 1305	 0	 queue3 	 oversize :	 27407027 ->	 27440726
0	 1307	 0	 queue3 	 oversize :	 27440726 ->	 27478050
0	 1308	 0	 queue3 	 oversize :	 27478050 ->	 27532383
0	 1309	 0	 queue3 	 oversize :	 27532383 ->	 27587095
0	 1310	 0	 queue3 	 oversize :	 27587095 ->	 27649041
0	 1311	 0	 queue3 	 oversize :	 27649041 ->	 27682838
0	 1312	 0	 queue3 	 oversize :	 27682838 ->	 27716932
0	 1313	 0	 queue3 	 oversize :	 27716932 ->	 27728745
0	 1314	 0	 queue3 	 oversize :	 27728745 ->	 27737271
0	 1315	 0	 queue3 	 oversize :	 27737271 ->	 27751737
0	 1316	 0	 queue3 	 oversize :	 27751737 ->	 27785086
0	 1317	 0	 queue3 	 oversize :	 27785086 ->	 27816220
0	 1318	 0	 queue3 	 oversize :	 27816220 ->	 27883407
0	 1319	 0	 queue3 	 oversize :	 27883407 ->	 27898760
0	 1320	 0	 queue3 	 oversize :	 27898760 ->	 27942984
0	 1321	 0	 queue3 	 oversize :	 27942984 ->	 27997615
0	 1322	 0	 queue3 	 oversize :	 27997615 ->	 28050309
0	 1323	 0	 queue3 	 oversize :	 28050309 ->	 28083831
0	 1324	 0	 queue3 	 oversize :	 28083831 ->	 28107776
0	 1325	 0	 queue3 	 oversize :	 28107776 ->	 28142806
0	 1326	 0	 queue3 	 oversize :	 28142806 ->	 28158496
0	 1327	 0	 queue3 	 oversize :	 28158496 ->	 28171968
0	 1328	 0	 queue3 	 oversize :	 28171968 ->	 28198561
0	 1329	 0	 queue3 	 oversize :	 28198561 ->	 28262318
0	 1330	 0	 queue3 	 oversize :	 28262318 ->	 28295344
0	 1331	 0	 queue3 	 oversize :	 28295344 ->	 28342506
0	 1332	 0	 queue3 	 oversize :	 28342506 ->	 28393369
0	 1333	 0	 queue3 	 oversize :	 28393369 ->	 28419259
0	 1336	 0	 queue3 	 oversize :	 28419259 ->	 28481722
0	 1337	 0	 queue3 	 oversize :	 28481722 ->	 28517978
0	 1338	 0	 queue3 	 oversize :	 28517978 ->	 28563417
0	 1339	 0	 queue3 	 oversize :	 28563417 ->	 28599376
0	 1340	 0	 queue3 	 oversize :	 28599376 ->	 28639613
0	 1341	 0	 queue3 	 oversize :	 28639613 ->	 28681109
0	 1343	 0	 queue3 	 oversize :	 28681109 ->	 28727399
0	 1344	 0	 queue3 	 oversize :	 28727399 ->	 28757572
0	 1345	 0	 queue3 	 oversize :	 28757572 ->	 28819596
0	 1346	 0	 queue3 	 oversize :	 28819596 ->	 28870876
0	 1347	 0	 queue3 	 oversize :	 28870876 ->	 28884569
0	 1348	 0	 queue3 	 oversize :	 28884569 ->	 28924002
0	 1349	 0	 queue3 	 oversize :	 28924002 ->	 28954829
0	 1350	 0	 queue3 	 oversize :	 28954829 ->	 28991671
0	 1351	 0	 queue3 	 oversize :	 28991671 ->	 29014559
0	 1352	 0	 queue3 	 oversize :	 29014559 ->	 29039362
0	 1353	 0	 queue3 	 oversize :	 29039362 ->	 29095778
0	 1355	 0	 queue3 	 oversize :	 29095778 ->	 29115019
0	 1356	 0	 queue3 	 oversize :	 29115019 ->	 29135964
0	 1357	 0	 queue3 	 oversize :	 29135964 ->	 29184091
0	 1358	 0	 queue3 	 oversize :	 29184091 ->	 29237402
0	 1359	 0	 queue3 	 oversize :	 29237402 ->	 29302304
0	 1360	 0	 queue3 	 oversize :	 29302304 ->	 29312908
0	 1361	 0	 queue3 	 oversize :	 29312908 ->	 29333709
0	 1362	 0	 queue3 	 oversize :	 29333709 ->	 29337969
0	 1363	 0	 queue3 	 oversize :	 29337969 ->	 29371138
0	 1364	 0	 queue3 	 oversize :	 29371138 ->	 29412839
0	 1365	 0	 queue3 	 oversize :	 29412839 ->	 29474831
0	 1366	 0	 queue3 	 oversize :	 29474831 ->	 29518114
0	 1367	 0	 queue3 	 oversize :	 29518114 ->	 29521536
0	 1368	 0	 queue3 	 oversize :	 29521536 ->	 29567641
0	 1369	 0	 queue3 	 oversize :	 29567641 ->	 29600585
0	 1370	 0	 queue3 	 oversize :	 29600585 ->	 29616085
0	 1371	 0	 queue3 	 oversize :	 29616085 ->	 29661050
0	 1372	 0	 queue3 	 oversize :	 29661050 ->	 29690420
0	 1374	 0	 queue3 	 oversize :	 29690420 ->	 29728560
0	 1375	 0	 queue3 	 oversize :	 29728560 ->	 29771315
0	 1376	 0	 queue3 	 oversize :	 29771315 ->	 29801201
0	 1377	 0	 queue3 	 oversize :	 29801201 ->	 29851736
0	 1378	 0	 queue3 	 oversize :	 29851736 ->	 29884581
0	 1379	 0	 queue3 	 oversize :	 29884581 ->	 29940953
0	 1380	 0	 queue3 	 oversize :	 29940953 ->	 29957375
0	 1381	 0	 queue3 	 oversize :	 29957375 ->	 29989208
0	 1383	 0	 queue3 	 oversize :	 29989208 ->	 30041088
0	 1384	 0	 queue3 	 oversize :	 30041088 ->	 30078201
0	 1385	 0	 queue3 	 oversize :	 30078201 ->	 30138742
0	 1387	 0	 queue3 	 oversize :	 30138742 ->	 30200308
0	 1389	 0	 queue3 	 oversize :	 30200308 ->	 30261036
0	 1391	 0	 queue3 	 oversize :	 30261036 ->	 30287191
